name	location	kind	frame	typed_over	status	statement	note
ASection.great_circle_value_degenerate	Concentricity/FaithfulApply.lean:173	theorem	ANALYTIC-SUPPORT	stem	proved	At real x with (F x).re<0, F(x) = -(‖F x‖:C): the section's negative great-circle values ARE degenerate values.	From real_on_real (intrinsicality); feeds the lift-through-degenerate row.
sign_pm_of_ne_zero	Concentricity/FlipWeld.lean:102	theorem	ANALYTIC-SUPPORT	generic	proved	x ≠ 0 → Real.sign x = 1 ∨ Real.sign x = -1.	unit-sign helper feeding the flip/signature ledger.
neg_one_zpow_pm	Concentricity/FlipWeld.lean:109	theorem	ANALYTIC-SUPPORT	generic	proved	(-1 : ℝ)^j = 1 ∨ (-1 : ℝ)^j = -1 for j : ℤ.	unit-sign helper for band-ledger equations.
pm_resolve_neq	Concentricity/FlipWeld.lean:115	theorem	ANALYTIC-SUPPORT	generic	proved	If s, z ∈ {1, -1} and s ≠ z then s = -z — two distinct unit signs are opposite.	resolves flip vs bounce dichotomy arithmetic.
stem_sign_eq_on_free	Concentricity/FlipWeld.lean:127	theorem	ANALYTIC-SUPPORT	stem	proved	If (γ u).im ≠ 0 for all u in (v,w), then Real.sign (γ u₁).im = Real.sign (γ u₂).im for any u₁,u₂ in (v,w) — IVT sign constancy along obstruction-free arcs.	the mechanism behind Def 5.2's one-sided limits on the stem.
obstruction_free_left	Concentricity/FlipWeld.lean:161	theorem	ANALYTIC-SUPPORT	stem	proved	Finite obstructionSet γ, 0 < t: ∃ v < t with (γ u).im ≠ 0 on (v,t) — a left window free of obstruction parameters.	Def 5.1/5.2 isolation of crossings, left window; Finset max' argument.
obstruction_free_right	Concentricity/FlipWeld.lean:183	theorem	ANALYTIC-SUPPORT	stem	proved	Finite obstructionSet γ, t < 1: ∃ w > t with (γ u).im ≠ 0 on (t,w) — a right window free of obstruction parameters.	right twin of obstruction_free_left.
conjLoop	Concentricity/FlipWeld.lean:646	def	ANALYTIC-SUPPORT	stem	def	conjLoop γ : C(unitInterval, ℂ) := t ↦ conj (γ t) — the reflection of a stem loop across ℝ.	mirror move for the descending flip-producer face; slice picture conjugation-symmetric.
weierstrassE_conj	Concentricity/FlipWeld.lean:876	theorem	ANALYTIC-SUPPORT	stem	proved	weierstrassE p (conj w) = conj (weierstrassE p w) — the elementary factor is conjugation-equivariant (real coefficients).	feeds spherePrimary collapse on ℝ.
spherePrimary_ofReal	Concentricity/FlipWeld.lean:890	theorem	ANALYTIC-SUPPORT	stem	proved	spherePrimary p a x = (normSq (weierstrassE p (x/a)) : ℝ) as a complex for real x — the conjugate stem pair of C3's factor collapses to |·|² on ℝ.	sphere-factor square-modulus identity on ℝ.
spherePrimary_ofReal_im	Concentricity/FlipWeld.lean:899	theorem	ANALYTIC-SUPPORT	stem	proved	(spherePrimary p a x).im = 0 at real x.	sphere factors real on ℝ.
spherePrimary_ofReal_nonneg	Concentricity/FlipWeld.lean:904	theorem	ANALYTIC-SUPPORT	stem	proved	0 ≤ (spherePrimary p a x).re at real x.	sphere factors nonnegative on ℝ.
spherePrimary_ofReal_pos	Concentricity/FlipWeld.lean:915	theorem	ANALYTIC-SUPPORT	stem	proved	a.im ≠ 0 ⇒ 0 < (spherePrimary p a x).re at real x — the sphere factor of a NON-REAL zero is strictly positive on ℝ.	the levels' carriers are invisible to Def 5.7 σ-inputs at real crossings.
re_mul_of_im_eq_zero	Concentricity/FlipWeld.lean:927	theorem	ANALYTIC-SUPPORT	generic	proved	z.im = 0 and w.im = 0 give (z·w).re = z.re·w.re and (z·w).im = 0.	real-product helper for the sign chain.
ASection.sphereTail_real_nonneg	Concentricity/FlipWeld.lean:936	theorem	ANALYTIC-SUPPORT	stem	proved	The full C3 sphere tail ∏' n, spherePrimary (genus n) (sphereZero n) x has im = 0 and re ≥ 0 at real x.	over ASection; closed-set limit via c3_multipliable; the whole residue-ℂ divisor is sign-invisible on ℝ.
ASection.exp_gfac_real_pos	Concentricity/FlipWeld.lean:960	theorem	ANALYTIC-SUPPORT	stem	proved	exp (A.gfac x) has im = 0 and re > 0 at real x — the entire factor e^g is real and strictly positive on ℝ.	uses c3_g_intrinsic via StemRing.real_on_real.
odd_rung_rigidity	Concentricity/InboxWire.lean:187	theorem	ANALYTIC-SUPPORT	stem	proved	A continuous f : unitInterval → ℝ taking only odd-rung values (2k+1)π on [a,b] is constant there — IVT crossing of an even rung is parity-forbidden.	no covering theory consumed; the stretch's own connectedness
ASection.tape_continuousOn_real	Concentricity/IntegrateTheorem.lean:127	theorem	ANALYTIC-SUPPORT	stem	proved	log‖F(y)‖ is ContinuousOn any real set avoiding the pole where F≠0.	Author correction (1): the level extends continuously wherever value ≠ 0.
ASection.real_segment_tape_sweeps	Concentricity/IntegrateTheorem.lean:144	theorem	ANALYTIC-SUPPORT	stem	proved	On a zero-free pole-avoiding real segment [u,v], every level L between the endpoint tape values log‖F(u)‖, log‖F(v)‖ is attained at some y in [u,v].	IVT on the great-circle leg; quantitative content of tape continuity.
ASection.liSum_first_family_of_supLevel_le	Concentricity/KernelE4.lean:186	theorem	ANALYTIC-SUPPORT	stem	proved	For supLevel ≤ β: ∀ a < β, ∀ n ≥ 1, 0 ≤ A.liSum a β n. Boundary zeros contribute 2(1−cos nθ) ≥ 0; interior zeros strictly near-sided (ratio modulus < 1).	Generalizes liSum_first_side (β = Ω₀+1); the sharp first-family region [supLevel, ∞).
ASection.liSum_second_family_of_le_infLevel	Concentricity/KernelE4.lean:216	theorem	ANALYTIC-SUPPORT	stem	proved	For β ≤ infLevel: ∀ a > β, ∀ n ≥ 1, 0 ≤ A.liSum a β n — the exact mirror family on (−∞, infLevel].	Generalizes liSum_second_side (β = βlo − 1).
ASection.liSum_first_family_at_supLevel	Concentricity/KernelE4.lean:249	theorem	ANALYTIC-SUPPORT	stem	proved	∀ a < A.supLevel, ∀ n ≥ 1, 0 ≤ A.liSum a A.supLevel n: the first family at the section's own top mirror line, outright.	Instance β := supLevel of the family row.
ASection.liSum_second_family_at_infLevel	Concentricity/KernelE4.lean:255	theorem	ANALYTIC-SUPPORT	stem	proved	∀ a > A.infLevel, ∀ n ≥ 1, 0 ≤ A.liSum a A.infLevel n: the second family at the bottom level, outright.	Mirror instance β := infLevel.
ASection.supLevel_mem_closure	Concentricity/KernelE4.lean:334	theorem	ANALYTIC-SUPPORT	stem	proved	A.supLevel ∈ closure A.levelSet.	csSup_mem_closure.
ASection.exists_levels_tendsto_supLevel	Concentricity/KernelE4.lean:341	theorem	ANALYTIC-SUPPORT	stem	proved	∃ φ : ℕ → ℕ, (fun j => (A.sphereZero (φ j)).re) → A.supLevel: a level-maximizing sequence of enumerated zeros exists.	mem_closure_iff_seq_limit + choice over the range.
liKernel	Concentricity/LiKernel.lean:42	def	ANALYTIC-SUPPORT	stem	def	K(n,a,β;z) = 1 − ((z−a)/(z−(2β−a)))^n : ℂ — the anchor-pair Möbius kernel, mirror-symmetric about Re = β; all parameters real and bound.	D0 kernel of the B2.2 BL ladder (DESIGN_B2_2_kernels.md); pure ℂ, base-agnostic; consumed by liSum and all D1–D3 rows.
ASection.liSum	Concentricity/LiKernel.lean:52	def	ANALYTIC-SUPPORT	stem	def	liSum A a β n := ∑' k, 2·Re(liKernel n a β (A.sphereZero k)) : ℝ — the conjugate-paired kernel sum read over the enumerated divisor.	D0 sum; reads the zero divisor (OBJ-zero adjacent); totality genuine — kernel pole real, every sphereZero has im > 0.
liRatio	Concentricity/LiKernel.lean:77	def	ANALYTIC-SUPPORT	stem	def	liRatio a β z := (z − a)/(z − (2β − a)) : ℂ — the anchor-pair Möbius ratio; liKernel = 1 − liRatio^n definitionally.	Unit circle of the ratio = the mirror line Re = β; the modulus trichotomy engine.
liKernel_eq_ratio	Concentricity/LiKernel.lean:80	theorem	ANALYTIC-SUPPORT	stem	proved	liKernel n a β z = 1 − liRatio a β z ^ n (rfl).	Definitional unfolding row connecting kernel to ratio; used throughout.
liRatio_num_ne_zero	Concentricity/LiKernel.lean:85	theorem	ANALYTIC-SUPPORT	stem	proved	z.im ≠ 0 → z − (a : ℂ) ≠ 0 for real a — the ratio numerator is nonzero off the real axis.	Junk-value hygiene: no division by zero, totality genuine.
liRatio_den_ne_zero	Concentricity/LiKernel.lean:94	theorem	ANALYTIC-SUPPORT	stem	proved	z.im ≠ 0 → z − (2β − a : ℂ) ≠ 0 — the mirror anchor is real, so the denominator is nonzero off ℝ.	Junk-value hygiene twin of the numerator row.
liRatio_ne_zero	Concentricity/LiKernel.lean:102	theorem	ANALYTIC-SUPPORT	stem	proved	z.im ≠ 0 → liRatio a β z ≠ 0.	Combines num/den nonvanishing; feeds the direction-normalization in the D1/D2 engines.
normSq_anchor_sub_mirror	Concentricity/LiKernel.lean:110	theorem	ANALYTIC-SUPPORT	stem	proved	‖z − a‖² − ‖z − (2β − a)‖² = 4(β − a)(Re z − β) — the key identity: squared-distance difference to the anchor pair reads the side of the mirror line.	Mission D1's key identity; drives the modulus trichotomy (=1 on the line, <1 near side, >1 wrong side).
liRatio_norm_eq_one	Concentricity/LiKernel.lean:120	theorem	ANALYTIC-SUPPORT	stem	proved	z.im ≠ 0, Re z = β → ‖liRatio a β z‖ = 1 — on the mirror line the ratio is unimodular.	The (⟸) engine of finite_BL: unimodular ratio gives 2(1 − cos nθ) ≥ 0 termwise.
liRatio_norm_lt_one	Concentricity/LiKernel.lean:135	theorem	ANALYTIC-SUPPORT	stem	proved	z.im ≠ 0, (β − a)(Re z − β) < 0 → ‖liRatio a β z‖ < 1 — near side of the mirror gives sub-unimodular ratio.	The D3 case; consumed by liSum_first_side and liSum_second_side.
one_lt_liRatio_norm	Concentricity/LiKernel.lean:150	theorem	ANALYTIC-SUPPORT	stem	proved	z.im ≠ 0, 0 < (β − a)(Re z − β) → 1 < ‖liRatio a β z‖ — wrong side of the mirror gives super-unimodular ratio.	The contrapositive's engine; side classification is a-independent per the key identity.
liKernel_re_nonneg	Concentricity/LiKernel.lean:165	theorem	ANALYTIC-SUPPORT	stem	proved	z.im ≠ 0, Re z = β → 0 ≤ Re(liKernel n a β z) — mirror-line termwise positivity, the 2(1 − cos nθ) ≥ 0 form.	Termwise half of finite_BL's (⟸) direction.
exists_pow_forall_norm_sub_one_lt	Concentricity/LiKernel.lean:183	theorem	ANALYTIC-SUPPORT	generic	proved	Finitely many unit ω ∈ Finset ℂ return jointly near 1: ∀ ε > 0, N, ∃ n ≥ max(N,1), ∀ ω ∈ t, ‖ω^n − 1‖ < ε.	The simultaneous return (Dirichlet/pigeonhole in metric form via compact torus); R5 record: no simultaneous Dirichlet lemma in Mathlib pin.
exists_liKernel_sum_neg	Concentricity/LiKernel.lean:242	theorem	ANALYTIC-SUPPORT	stem	proved	Multiset S off ℝ with one element z₀ strictly wrong-sided ((β−a)(Re z₀−β) > 0) → ∃ n ≥ 1 with the mapped kernel sum over S negative.	D1 contrapositive engine: at a simultaneous return, wrong-sided r^n outgrows 2·card S.
finite_BL	Concentricity/LiKernel.lean:342	theorem	ANALYTIC-SUPPORT	stem	proved	Finite-multiset Bombieri–Lagarias: for S ⊂ ℂ off ℝ, two-sided kernel-sum positivity (all a < β and a > β, all n ≥ 1) ⟺ ∀ z ∈ S, Re z = β.	D1, ladder L2; fidelity note: im ≠ 0 strengthens the BL source's two-point avoidance (author rider 1, 2026-07-04).
summable_inv_one_add_norm_sq_center_shift	Concentricity/LiKernel.lean:422	theorem	ANALYTIC-SUPPORT	generic	proved	Summable 1/(1+‖ρk − c‖²) at one real center c → summable at every real center c′ (explicit comparison constant 2 + 2(c′−c)²).	C-1 step (3): center-shift stability of quadratic point-density; makes the density goal center-free.
norm_one_add_pow_sub_one_sub_mul_le	Concentricity/LiKernel.lean:447	theorem	ANALYTIC-SUPPORT	generic	proved	For ‖w‖ ≤ D, 1 ≤ D: ‖(1+w)^n − 1 − n·w‖ ≤ ‖w‖²(1+D)^n — the paired binomial tail bound, quadratic remainder after j = 0,1.	C-1 step (4): isolates the one Re-needing j = 1 term; quadratic remainder absorbed by the point-density.
ASection.blDensity_of_density	Concentricity/LiKernel.lean:513	theorem	ANALYTIC-SUPPORT	stem	proved	Quadratic density at one center → Σk (1+|Re ρk|)/(1+‖ρk − c‖²) < ∞ at every real center c (the strip bounds the numerator).	Sekatskii (ii) in-frame — exactly Theorem 2's convergence condition (READ_weil_li_findings.md); consumes the strip rows.
ASection.liSum_summable_of_density	Concentricity/LiKernel.lean:544	theorem	ANALYTIC-SUPPORT	stem	proved	Quadratic density of the divisor at the mirror anchor 2β − a → Summable (2·Re K(n,a,β; sphereZero k)) — C-1's summability from density.	C-1 steps (3)+(4) assembled: strip bounds the j = 1 term, binomial tail majorized outright.
ASection.liSum_summable_of_density_at	Concentricity/LiKernel.lean:694	theorem	ANALYTIC-SUPPORT	stem	proved	Quadratic density at ONE real center c₀ → summability of the kernel terms for every anchor pair (a,β) and every n.	Single-center C-1 reduction = center-shift + the paired binomial comparison; consumed by liSum_summable at c₀ = 0.
ASection.liSum_summable	Concentricity/LiKernel.lean:717	theorem	ANALYTIC-SUPPORT	stem	proved	For every A : ASection, a β n: Summable (fun k => 2·Re(liKernel n a β (A.sphereZero k))) — D0 closed from c3_atN.	D0 CLOSED (2026-07-06): C3's own convergence clause through N discharges it; lifts the burn-order fence for D3/D2.
ASection.liSum_first_side	Concentricity/LiKernel.lean:732	theorem	ANALYTIC-SUPPORT	stem	proved	∃ β (namely Ω₀ + 1), ∀ a < β, ∀ n ≥ 1: 0 ≤ A.liSum a β n — one-sided kernel positivity above the upper edge.	D3, ladder L1: C2 zero-freeness puts every zero on the near side; makes 'the remaining gap = the second side' literal.
norm_one_add_pow_sub_one_sub_mul_le'	Concentricity/LiKernel.lean:774	theorem	ANALYTIC-SUPPORT	generic	proved	Small-deviation binomial tail: for 0 < D, ‖w‖ ≤ D: ‖(1+w)^n − 1 − n·w‖ ≤ (‖w‖²/D²)(1+D)^n — base 1+D arbitrarily close to 1.	Private D2 helper: sharp-base variant paying an n-free 1/D² factor; lets the tail base sit under the wrong-sided r.
liKernel_re_tail_bound	Concentricity/LiKernel.lean:845	theorem	ANALYTIC-SUPPORT	stem	proved	At distance ≥ X₀ ≥ 1 from the mirror anchor c = 2β − a, with strip bound Mst: |2·Re K| ≤ 4(n|d|Mst + X₀²(1+|d|/X₀)^n)/(1+‖z−c‖²).	Private D2 tail per-term bound with the SHARP deviation base 1+|d|/X₀ shrinking to 1 as the threshold grows.
exists_liKernel_sum_neg_slack	Concentricity/LiKernel.lean:972	theorem	ANALYTIC-SUPPORT	stem	proved	Slack-carrying D1 engine: wrong-sided z₀ ∈ S, slack C₁·n + C₂·b^n with b < ‖liRatio a β z₀‖ → ∃ n ≥ 1 with head sum + slack < 0.	Private: r^n dominates card, n-linear, and sub-r-geometric slack; the D2 head/tail comparison's engine.
ASection.exists_liSum_neg	Concentricity/LiKernel.lean:1132	theorem	ANALYTIC-SUPPORT	stem	proved	An enumerated zero strictly wrong-sided of the mirror ((β−a)(Re sphereZero k₀ − β) > 0) → ∃ n ≥ 1, A.liSum a β n < 0.	D2 limit passage, negativity form (private): head/tail split of the GENUINE convergent sum at a density threshold; junk-tsum hygiene honored.
ASection.liSum_second_side	Concentricity/LiKernel.lean:1301	theorem	ANALYTIC-SUPPORT	stem	proved	∃ β (namely βlo − 1), ∀ a > β, ∀ n ≥ 1: 0 ≤ A.liSum a β n — one-sided positivity below the lower edge, mirror of D3.	Runs on c3_lowerEdge in place of re_le_upperEdge; docstring records the open node: ONE β serving both sides.
Octonion.instIsTopologicalAddGroup (anonymous instance)	Concentricity/LogManifold.lean:109	instance	ANALYTIC-SUPPORT	domain-H1	proved	Octonion (as the Cayley-Dickson pair Quaternion R x Quaternion R with Prod topology) is a topological additive group.	Section 0 continuity supplement; DERIVED (R10); inferInstanceAs pattern of WeldW3 W0. Plain Octonion carrier.
Octonion.continuous_re	Concentricity/LogManifold.lean:113	theorem	ANALYTIC-SUPPORT	domain-H1	proved	The real-part coordinate re : O -> R is continuous (first quaternion component's re).	DERIVED; componentwise from Quaternion.continuous_re. Feeds continuous_im and the lift rows.
Octonion.continuous_normSq	Concentricity/LogManifold.lean:119	theorem	ANALYTIC-SUPPORT	domain-H1	proved	normSq : O -> R (sum of the two quaternionic normSq) is continuous.	DERIVED; feeds continuous_norm.
Octonion.continuous_norm	Concentricity/LogManifold.lean:126	theorem	ANALYTIC-SUPPORT	domain-H1	proved	The Euclidean norm on O is continuous (sqrt of normSq).	DERIVED; backbone of every level-tape continuity row.
Octonion.continuous_ofReal	Concentricity/LogManifold.lean:130	theorem	ANALYTIC-SUPPORT	domain-H1	proved	The real embedding ofReal : R -> O is continuous.	DERIVED; used by real_segment_lift_neg/pos and Llog continuity.
Octonion.continuous_im	Concentricity/LogManifold.lean:135	theorem	ANALYTIC-SUPPORT	domain-H1	proved	The imaginary-part map im : O -> O is continuous: im x = x - ofReal (re x).	DERIVED; carries the continuity of the E+-lift's second factor in isLift_of_continuation.
Octonion.norm_smul	Concentricity/NormalizedBase.lean:123	theorem	ANALYTIC-SUPPORT	domain-H1	proved	norm (r • x) = |r| * norm x for r : ℝ, x : Octonion.	General form of norm_smul_unit.
Octonion.norm_sliceEmbed_sub_sliceEmbed	Concentricity/NormalizedBase.lean:131	theorem	ANALYTIC-SUPPORT	domain-H1	proved	norm (sliceEmbed I z − sliceEmbed J z) = |z.im| * norm (I − J): two worlds' readings differ linearly in the distance to the circle.	The sphere-continuum-collapse geometry; worlds coincide at Im z = 0.
ASection.Rfac_ne_zero_of_re_gt	Concentricity/PairingE2.lean:180	theorem	ANALYTIC-SUPPORT	stem	proved	If A.Ω₀ < z.re then A.Rfac z ≠ 0: the C3 real skeleton is nonvanishing on the half-space (its zeros are real; a zero there would be a stem zero in C2's zero-free region).	Consumes c3_factorization + c3_R_zeros_real + zero_free_on_halfSpace.
ASection.sphereTail_ne_zero	Concentricity/PairingE2.lean:304	theorem	ANALYTIC-SUPPORT	stem	proved	Off the pole, if every off-head primary factor is nonzero at z then sphereTail s z ≠ 0 (majorant + tprod_ne_zero_of_norm_sub_one_le).	Nonvanishing of the infinite tail.
ASection.sphereComplement_ne_zero	Concentricity/PairingE2.lean:325	theorem	ANALYTIC-SUPPORT	stem	proved	sphereComplement s z ≠ 0 wherever z ≠ pole, z ≠ 0, Rfac z ≠ 0 and the off-head primary factors are nonzero.	Visible-factor nonvanishing assembled.
ASection.sphereComplement_analyticAt	Concentricity/PairingE2.lean:337	theorem	ANALYTIC-SUPPORT	stem	proved	AnalyticAt ℂ (A.sphereComplement s) z for z ≠ pole: the tail converges locally normally (Weierstrass convergence), finite factors entire, pole factor invertible.	Uses MultipliableLocallyUniformlyOn machinery on the majorant ball.
logDeriv_spherePrimary_peel	Concentricity/PairingE2.lean:439	theorem	ANALYTIC-SUPPORT	stem	proved	Away from the conjugate pair, logDeriv (spherePrimary p a) z = (z − a)⁻¹ + logDeriv (sphereUnit p a) z: the primary factor's log-derivative peels its simple pole.	Top-level (no ASection); fiber-peeling row from StemFactorization.lean.
analyticAt_logDeriv	Concentricity/PairingE2.lean:454	theorem	ANALYTIC-SUPPORT	generic	proved	AnalyticAt ℂ f z and f z ≠ 0 imply AnalyticAt ℂ (logDeriv f) z.	Generic helper (deriv/div); top-level, no ASection.
ASection.tendsto_head_sums_liSum	Concentricity/PairingE2.lean:693	theorem	ANALYTIC-SUPPORT	stem	proved	Along any eventually-covering finset sequence s j, Σ_{k∈s j} 2·Re(liKernel n a β (sphereZero k)) → A.liSum a β n.	liSum_summable (D0) read through the HasSum filter.
ASection.exists_exhausting_disks	Concentricity/PairingE2.lean:768	theorem	ANALYTIC-SUPPORT	stem	proved	∃ centers c and radii R: disks positive, closed disks in the open upper half-plane, boundaries off the divisor, every enumerated zero eventually trapped.	Horocycle-style disks on the imaginary axis; radii off the countable zero-hitting set.
Octonion.normSq_nonneg	Concentricity/PhiConversion.lean:140	theorem	ANALYTIC-SUPPORT	domain-H1	proved	0 ≤ Octonion.normSq x for all x — from normSq_zero and normSq_pos_of_ne_zero.	positivity helper feeding moduliRead's NNReal.mk
Octonion.ofReal_zero	Concentricity/PhiConversion.lean:417	theorem	ANALYTIC-SUPPORT	domain-H1	proved	Octonion.ofReal 0 = 0 — via ofReal_eq_smul_one and zero_smul.	helper
ASection.im_sphere_pt_ne_zero	Concentricity/PhiConversion.lean:454	theorem	ANALYTIC-SUPPORT	domain-H1	proved	im (sliceEmbed v (A.sphereZero n)) ≠ 0 for v ∈ unitImaginarySphere — a sphere representative is non-real.	helper from c3_sphere_nonreal + normSq_smul
circleLoop	Concentricity/SigmaE3.lean:262	def	ANALYTIC-SUPPORT	stem	def	circleLoop c ε : C(unitInterval, ℂ) — the positively-oriented circle t ↦ c + ε·exp(2πit).	The standard contour all §B/§D counting rows are read on.
circleLoop_apply	Concentricity/SigmaE3.lean:266	theorem	ANALYTIC-SUPPORT	stem	proved	Evaluation formula for circleLoop (rfl).	Unfolding row; near-boilerplate, kept for orientation.
circleLoop_closed	Concentricity/SigmaE3.lean:270	theorem	ANALYTIC-SUPPORT	stem	proved	circleLoop c ε 0 = circleLoop c ε 1 — the contour is a loop.	Loop hypothesis supplier.
circleLoop_dist	Concentricity/SigmaE3.lean:275	theorem	ANALYTIC-SUPPORT	stem	proved	‖circleLoop c ε t − c‖ = ε for ε > 0 — circle points sit at exact distance ε.	Feeds radius bookkeeping in the peel arguments.
circleLoop_im_pos	Concentricity/SigmaE3.lean:308	theorem	ANALYTIC-SUPPORT	stem	proved	If 0 < ε < im c then every circleLoop c ε point has positive imaginary part.	Keeps zero-circles in the upper half-plane, away from the real pole.
sum_range_neg_one_pow_succ	Concentricity/SigmaE3.lean:602	theorem	ANALYTIC-SUPPORT	generic	proved	∑_{l<m} (−1)^{l+1} = if Even m then 0 else −1.	The alternating-sum engine of Defs 5.7/5.19.
Octonion.norm	Concentricity/Slice.lean:51	def	ANALYTIC-SUPPORT	domain-H1	def	norm x := Real.sqrt (normSq x) — the Euclidean norm from the Cayley-Dickson normSq.	Scalar support for dir/sliceCoord.
Multipliable.tprod_eq_zero_of_eq_zero	Concentricity/StemFactorization.lean:49	theorem	ANALYTIC-SUPPORT	generic	proved	Multipliable f → f i = 0 → ∏' j, f j = 0 (ℂ-valued, any index type).	R5: absent from the pin, proved in-repo; needs no §4 class upgrade.
spherePrimary_self_eq_zero	Concentricity/StemFactorization.lean:59	theorem	ANALYTIC-SUPPORT	stem	proved	a ≠ 0 → spherePrimary p a a = 0 — the sphere primary factor vanishes at its own zero.	Root-namespace helper for the divisor bundle.
weierstrassE_eq_zero_iff	Concentricity/StemFactorization.lean:90	theorem	ANALYTIC-SUPPORT	stem	proved	weierstrassE p w = 0 ↔ w = 1 — the elementary factor vanishes exactly at w = 1.	PROVED helper (R8: helpers never sorried).
spherePrimary_ne_zero	Concentricity/StemFactorization.lean:103	theorem	ANALYTIC-SUPPORT	stem	proved	a ≠ 0, z ≠ a, z ≠ conj a → spherePrimary p a z ≠ 0 — nonzero away from the conjugate stem pair.	
tprod_ne_zero_of_norm_sub_one_le	Concentricity/StemFactorization.lean:115	theorem	ANALYTIC-SUPPORT	generic	proved	Summable u, ‖f i − 1‖ ≤ u i, all f i ≠ 0 → ∏' i, f i ≠ 0 — the §4α tprod-nonvanishing estimate.	Pin tprod_one_add_ne_zero_of_summable verified live (R5).
differentiable_weierstrassE_div	Concentricity/StemFactorization.lean:225	theorem	ANALYTIC-SUPPORT	stem	proved	z ↦ weierstrassE p (z/a) is entire.	PROVED helper.
differentiable_spherePrimary	Concentricity/StemFactorization.lean:231	theorem	ANALYTIC-SUPPORT	stem	proved	spherePrimary p a is entire.	PROVED helper.
weierstrassE_div_factor	Concentricity/StemFactorization.lean:501	theorem	ANALYTIC-SUPPORT	stem	proved	a ≠ 0 → E_p(z/a) = (z − a) · (−a⁻¹ · exp(∑_{k<p} (z/a)^{k+1}/(k+1))) — explicit zero peeling of the zero-slot factor.	PROVED helper.
sphereUnit	Concentricity/StemFactorization.lean:513	def	ANALYTIC-SUPPORT	stem	def	sphereUnit p a z := −a⁻¹ · exp(…) · weierstrassE p (z / conj a) — the entire unit accompanying (z − a) in a fiber factor.	stem_local_form scaffolding.
spherePrimary_eq_sub_mul_sphereUnit	Concentricity/StemFactorization.lean:519	theorem	ANALYTIC-SUPPORT	stem	proved	a ≠ 0 → spherePrimary p a z = (z − a) · sphereUnit p a z — fiber-factor peeling.	PROVED helper.
differentiable_sphereUnit	Concentricity/StemFactorization.lean:525	theorem	ANALYTIC-SUPPORT	stem	proved	sphereUnit p a is entire.	PROVED helper.
sphereUnit_ne_zero	Concentricity/StemFactorization.lean:533	theorem	ANALYTIC-SUPPORT	stem	proved	a ≠ 0, z ≠ conj a → sphereUnit p a z ≠ 0 — the unit avoids zero away from the conjugate point.	PROVED helper.
StemRing.differentiable	Concentricity/StemRing.lean:71	theorem	ANALYTIC-SUPPORT	stem	proved	For f : StemRing, Differentiable ℂ (f : ℂ → ℂ).	Membership unpack.
